2014-11-01T00:05:24.744Z	Master(2554/C1N0)	Stopped
2014-11-01T00:05:27.443Z	Master(2871/C1N0)	Started
2014-11-01T00:06:37.709Z	Master(2871/C1N0)	Stopped
2014-11-01T00:06:41.074Z	Master(2879/C1N0)	Started
2014-11-01T00:07:27.749Z	Master(2879/C1N0)	Stopped
2014-11-01T00:07:30.952Z	Master(2887/C1N0)	Started
2014-11-01T00:07:58.184Z	Master(2887/C1N0)	Stopped
2014-11-01T00:08:01.015Z	Master(2894/C1N0)	Started
2014-11-01T00:08:22.533Z	Master(2894/C1N0)	Stopped
2014-11-01T00:08:25.731Z	Master(2902/C1N0)	Started
2014-11-01T00:22:07.325Z	Master(2902/C1N0)	Stopped
2014-11-01T00:22:10.296Z	Master(2944/C1N0)	Started
2014-11-01T00:23:23.364Z	Master(2944/C1N0)	Stopped
2014-11-01T00:23:26.709Z	Master(2954/C1N0)	Started
2014-11-01T00:24:06.959Z	Master(2954/C1N0)	Stopped
2014-11-01T00:24:09.780Z	Master(2961/C1N0)	Started
2014-11-01T00:25:04.672Z	Master(2961/C1N0)	Stopped
2014-11-01T00:25:08.952Z	Master(2969/C1N0)	Started
2014-11-01T00:25:50.923Z	Master(2969/C1N0)	Stopped
2014-11-01T00:25:54.031Z	Master(2977/C1N0)	Started
2014-11-01T00:45:20.528Z	Master(2977/C1N0)	Stopped
2014-11-01T00:45:23.621Z	Master(3016/C1N0)	Started
2014-11-01T00:45:49.844Z	Master(3016/C1N0)	Stopped
2014-11-01T00:45:52.491Z	Master(3023/C1N0)	Started
2014-11-01T00:46:41.717Z	Master(3023/C1N0)	Stopped
2014-11-01T00:46:45.014Z	Master(3031/C1N0)	Started
2014-11-01T00:47:44.938Z	Master(3031/C1N0)	Stopped
2014-11-01T00:47:47.708Z	Master(3039/C1N0)	Started
2014-11-01T01:04:46.845Z	Master(3039/C1N0)	Stopped
2014-11-01T01:04:49.581Z	Master(3172/C1N0)	Started
2014-11-01T01:16:01.543Z	Master(3172/C1N0)	Stopped
2014-11-01T01:16:04.662Z	Master(3232/C1N0)	Started
2014-11-01T01:23:32.128Z	Master(3232/C1N0)	Stopped
2014-11-01T01:23:54.557Z	Master(3324/C1N0)	Started
2014-11-01T01:24:19.934Z	Master(3324/C1N0)	Stopped
